gene_name,gene_synonym
AC117473.1,nan
Z83844.2,nan
DNAJC3,p58(IPK)|P58|ERdj6|PRKRI|HP58|P58IPK
ACTG1P14,nan
HNRNPA1P36,nan
DBH,DBM
RPL39P3,Em:AC019205.3
SEL1L3,KIAA0746
AC110285.6,nan
RPL24P8,nan
AC097652.1,nan
RNU7-175P,nan
CCDC28A,DKFZp586D0623|C6orf80|CCRL1AP
VN1R28P,nan
AC093840.2,nan
AC213203.2,nan
AC008972.1,nan
SLC9A6,KIAA0267|NHE6
TPD52L2,hD54|D54
NDUFB9P2,nan
BMS1P16,nan
GU182347.4,nan
AC006020.1,nan
ZNF542P,DKFZp686B2197|ZNF542
ZNF551,DKFZp686H1038
PTMAP3,nan
AC018653.7,nan
SDAD1,FLJ10498
BX664730.1,nan
AC015909.5,nan
AP003696.1,nan
RN7SL416P,nan
ANGEL2,KIAA0759L|FLJ12793|Ccr4d
MYO3B-AS1,nan
AP002770.2,nan
AP000223.1,nan
AC026748.2,nan
ZFAS1,ZNFX1-AS1|NCRNA00275|HSUP2|HSUP1|C20orf199
UNC5D,Unc5h4|KIAA1777
LINC00032,C9orf14|NCRNA00032
AC106873.2,nan
FAM181B,MGC33846|LOC220382
P4HB,PO4DB|P4Hbeta|PO4HB|GIT|DSI|ERBA2L|PDIA1|PROHB|PDI
RNU12,RNU12-1|RNU12P
SMARCD2,CRACD2|PRO2451|BAF60B|Rsc6p
LINC01919,nan
OR51A1P,nan
AP000797.2,nan
AL121652.1,nan
NUP160,FLJ22583|KIAA0197
HDGFL3,HRP-3|Hdgfrp3
KANSL3,Rcd1|NSL3|KIAA1310|FLJ10081
CD93,ECSM3|MXRA4|CDw93|C1QR1|C1qR(P)|dJ737E23.1|C1qRP
PRAMEF32P,nan
AC073333.1,nan
KRT8P40,nan
LSAMP,LAMP|IGLON3
GOLGA8O,nan
MTND4LP10,nan
PRKD1,PKD|PKCM|PKC-mu|PRKCM
RBPMS2,nan
MIR890,MIRN890|hsa-mir-890
AC134349.4,nan
RPS14P8,nan
EARS2,KIAA1970|MSE1|mtGlnRS
AC007191.1,nan
SPDYE9P,nan
AC010542.6,nan
GPM6BP2,nan
YAE1,CIAB2|GK003|C7orf36|YAE1D1
TTC5,Strap
AC226118.1,nan
AC018767.1,nan
MIR661,hsa-mir-661|MIRN661
AC078776.1,nan
RPSAP36,nan
AC211486.10,nan
LINC02357,nan
MICOS10P4,MINOS1P4
TRBV7-7,TCRBV7S7|TCRBV6S6A2T|TRBV77
CCT8L2,CESK1
AL139398.1,nan
RPL34P22,nan
AC145423.3,nan
SNX18P5,SNX18P6
AC108519.1,nan
AC130469.1,nan
SNHG14,UBE3A-AS|UBE3A-AS1|NCRNA00214|UBE3A-ATS
IGKV1OR2-118,IGKV1/OR2-118
AP006289.1,nan
AC142116.1,nan
AC009041.3,nan
AC073648.1,nan
SPOCD1,PPP1R146|FLJ25348
AC016292.2,nan
SETP17,nan
RIOK2,FLJ11159
RN7SL510P,nan
AC005548.1,nan
ZNF607,MGC13071|FLJ14802
SP3,SPR-2
AL845443.1,nan
AC007351.2,nan
AC080097.2,nan
RPL32P33,nan
GUCA1C,GCAP3
AC092159.3,nan
LINC00643,nan
BX927139.2,nan
AC106017.1,nan
LINC02030,nan
TARS1,TARS
RNF139-AS1,nan
TTC9,KIAA0227|TTC9A
AC008741.1,nan
IGLVIVOR22-1,IGLV(IV)/OR22-1
AC121758.3,nan
STAG1,SA-1|SCC3A|SA1
LINC00589,TSLNC8|C8orf75
AC244216.3,nan
FRG2IP,nan
AC008537.1,nan
TECTB,nan
DUX4L34,nan
AC106868.1,nan
AC004869.2,nan
DLX4,DLX9|BP1|DLX7|DLX8
MIR8058,hsa-mir-8058
LINC00603,nan
MIR4756,hsa-mir-4756
AL109840.1,nan
MIR4658,hsa-mir-4658
RNA5S13,RN5S13
WFIKKN2,WFDC20B|WFIKKNRP
ZC3H7A,FLJ20318|HSPC055|ZC3H7|ZC3HDC7
FASN,SDR27X1|FAS
PPIAP70,nan
AC113355.1,nan
SART1,Ara1|Snu66|HAF|SNRNP110
AC023194.2,nan
MIR585,MIRN585|hsa-mir-585
FER1L4,bA563A22B.1|C20orf124|dJ309K20.1
PSMB5,MB1
AC004840.2,nan
AL138966.2,nan
AC083849.3,nan
AL356585.11,nan
LETM1,SLC55A1
GSTCD-AS1,nan
FAM230E,LINC01662
AC092552.1,nan
B3GNT7,beta3GnT7
AL137017.1,nan
ZFP62,ZNF755|ZET|FLJ34231
EMB,MGC71745
TNPO1P3,nan
SERBP1,CHD3IP|CGI-55|PAI-RBP1|PAIRBP1|DKFZP564M2423|HABP4L
RNU6-1186P,nan
AC022360.1,nan
AC061709.1,nan
RN7SKP178,nan
GPAT2P2,nan
AP003059.1,nan
TMEFF1,H7365|C9orf2|CT120.1
RPSAP44,nan
RPL21P44,nan
AC087863.2,nan
ACP1,HAAP|LMWPTP|LMW-PTP
ASAP1-IT2,nan
TRNP1,C1orf225|TRNP
AC005614.2,nan
PSG8-AS1,nan
DHRS9,RETSDR8|RDH15|3alpha-HSD|SDR9C4|RDHL
RNU6-505P,nan
AL138793.1,nan
GALK2,GK2
PHOSPHO1,nan
LINC00620,nan
AL139254.1,nan
OR4A15,nan
AOC3,VAP1|HPAO|VAP-1
OR10A6,nan
USP26,nan
MEIOB,C16orf73|MGC35212
AC244216.1,nan
SNHG6,U87HG|HBII-276HG|NCRNA00058
FGF7P2,FGF7L
GNGT2,GNG9
AC016816.1,nan
ADGRV1,MASS1|KIAA0686|DKFZp761P0710|FEB4|GPR98|USH2C|VLGR1
PDRG1,dJ310O13.3|C20orf126
LINC01929,CTD-2171N6.1
LARS2,KIAA0028|mtLeuRS|MGC26121|LEURS
AC005185.1,nan
ELOCP29,TCEB1P29
RNA5SP89,RN5S89
GP1BA,GPIbalpha|CD42b|GP1B
LINC00424,nan
AC025040.1,nan
MIR2681,hsa-mir-2681
AC108073.3,nan
CFL1P4,CFLL4|CFLP4
RNVU1-1,RNVU1-10|vU1.1|RNU1-10P|RNU1P10|vU1.10|U1P14|U1.4|RNU1-53
AC008568.1,nan
AL157931.2,nan
AC243301.1,nan
AC010275.1,nan
SDR16C6P,SDR16C6
CBX4,NBP16|PC2|hPC2
CREG1,CREG
AL096840.2,nan
LINC02856,nan
AC016526.1,nan
UBL5P3,nan
HARBI1,C11orf77|FLJ32675
PRDM5,PFM2
SNORD115-36,HBII-52-36
TRIM51FP,nan
RNY3P11,nan
LINC00243,C6orf214|bQB230F21.2|FLJ40693|bQB10J12.2|NCRNA00243
AC105114.1,nan
AC009831.4,nan
AL451164.2,nan
PCDHGB8P,PCDH-PSI3
AC012183.1,nan
AC025165.2,nan
KRT81,KRTHB1|Hb-1
UTY,KDM6AL|KDM6C
CU633906.1,nan
SNORA75B,nan
KAZN-AS1,ENST00000447908
AC008868.1,nan
AL161756.1,nan
ADAM10,kuz|CD156C|MADM|HsT18717
TMEM126A,DKFZp586C1924|OPA7
RPL11,uL5|L11
NKX2-8,Nkx2-9|NKX2.8|NKX2H
LINC02681,nan
AC018761.3,nan
MG910335.1,nan
NODAL,nan
AC015982.1,nan
RN7SL336P,nan
AC090518.1,nan
AC074050.1,nan
AC104806.2,nan
Z94721.1,nan
AC006065.6,nan
AL139246.5,nan
PPIAP48,nan
AL359641.1,nan
RNU1-34P,nan
CPAMD8,VIP|K-CAP|KIAA1283
SYT16,SYT14L|yt14r|CHR14SYT|Strep14
TRDV3,hDV103S1
RAB3GAP1,WARBM1|RAB3GAP130|KIAA0066|RAB3GAP
AL137001.2,nan
AC011815.1,nan
RNU6-1089P,nan
ARMCX3,GASP6|ALEX3
AL049830.3,nan
IGHV7-27,nan
TMED10P1,Tmp21-II|TMED10P
HMMR-AS1,nan
SNORA40,SNORA40A|ACA40
AL354797.1,nan
TFAP4,bHLHc41|AP-4
NUDT22,MGC13045
ADAM20P1,C14orf55
AL121956.2,nan
LINC02368,nan
AC096736.1,nan
TAOK2,KIAA0881|MAP3K17|PSK1|PSK|TAO2|TAO1
AC015878.2,nan
CU633906.3,nan
ARX,PRTS|MRXS1|MRX54|MRX33|ISSX|MRX29|EIEE1|MRX87|CT121|MRX43|MRX36|MRX32|MRX76|MRX38
SCGN,CALBL|SEGN|SECRET|DJ501N12.8
AL929601.2,nan
DYTN,nan
AP001628.2,nan
RPS20P25,nan
AL583825.1,nan
FSD2,SPRYD1|RP11-127F21
GNAS-AS1,NCRNA00075|GNASAS|GNAS-AS|NESP-AS|GNAS1AS|NESPAS|SANG
AL354707.1,nan
AC022140.2,nan
PTCHD3,FLJ44037|PTR
RNU6-875P,nan
AC092535.2,nan
RPL35AP31,nan
ANO6,TMEM16F|DKFZp313M0720
AC010928.1,nan
AC108066.1,nan
ZNFX1,KIAA1404|FLJ11277
OSBPL9P5,nan
AC104996.1,nan
AC064836.2,nan
EMID1,EMI5|EMU1|hEmu1
AC105940.1,nan
TRHDE,TRH-DE|PGPEP2|PAP-II
GSK3A,nan
PHKA1P1,nan
A4GNT,alpha4GnT
EML2,ELP70|EMAP2|EMAP-2
AC093928.1,nan
AL357140.4,nan
AL158212.1,nan
AC006538.1,nan
AC091982.3,nan
KRT223P,nan
LINC00485,nan
SNORA33,ACA33
ATCAY,BNIP-H
ARHGAP29-AS1,nan
AC245054.1,nan
HNRNPCL3,nan
VENTXP1,NA88A|CT18
AK1,nan
AC097375.5,nan
AL121904.1,nan
DHFRP6,nan
KIF1A,SPG30|UNC104|ATSV|C2orf20
MLST8,Lst8|GBL|Pop3|GbetaL
RPL35AP23,RPL35AP25
AC112225.1,nan
AC103855.1,nan
FAM230A,DGCR15
RBMY1E,nan
AC144587.1,nan
AC068724.3,nan
AC055811.1,nan
ATP1A2,MHP2|FHM2
AC133552.5,nan
POPDC2,POP2
IQCB2P,dJ313I6.1|IQCB1P1
USPL1,C13orf22|D13S106E|bA121O19.1
PRELID1P3,nan
AL159166.1,nan
AC092047.1,nan
AP002373.1,nan
LINC02122,nan
AC015743.1,nan
AC074085.1,nan
AL451074.3,nan
C16orf78,MGC33367
RN7SL214P,nan
ZNF84-DT,nan
AC275592.1,nan
AC022960.3,nan
NANOS2,NOS2|ZC2HC12B
AC104996.2,nan
BX248084.2,nan
MRPS17P5,nan
AC009869.1,nan
AC005165.3,nan
CHEK2,CHK2|bA444G7|HuCds1|PP1425|CDS1|RAD53
AC127537.1,nan
MYL12B,MRLC2
C2orf66,UNQ6411
AC004943.3,nan
PCDHB2,PCDH-BETA2
AC008629.2,nan
NAT14,KLP1
CT009496.1,nan
TARS2P1,nan
MMP17,MT4-MMP
AC011450.1,nan
AC105150.1,nan
NMRK2,MIBP|ITGB1BP3|NRK2
RN7SKP24,nan
AC138035.2,nan
LINC00868,C17orf52
MIR383,hsa-mir-383|MIRN383
RNU6-482P,nan
AL117328.2,nan
NBPF25P,nan
MIR3938,hsa-mir-3938
PHF5A,INI|MGC1346|bK223H9.2|Rds3|SF3B7|SAP14b|SF3b14b
AL118558.2,nan
GNRHR2P1,nan
AL445685.1,nan
ZNF101P1,nan
AC091812.4,nan
AC013652.2,nan
AC097110.1,nan
AC022509.1,nan
AC104581.2,nan
RHPN2,nan
LINC01362,nan
AC007967.1,nan
AC007785.1,nan
MIR1246,MIRN1246|hsa-mir-1246
RNU7-71P,U7.71
AC024589.2,nan
AC108479.3,nan
RCC2P1,nan
RNA5SP489,RN5S489
AP001885.1,nan
MIR1270,hsa-mir-1270-2|hsa-mir-1270|MIR1270-1|MIR1270-2|MIRN1270
BX072566.1,nan
AC010723.1,nan
TDRD6,CT41.2|SPATA36|NY-CO-45|bA446F17.4
KP420440.1,nan
BTN2A3P,BTN2A3|BTN2.3
OR7E93P,OR7E131P
RNU7-192P,nan
POT1,DKFZp586D211|hPot1
ST13P5,FAM10A5
IGLV3-15,nan
RNU1-85P,nan
IGKV2D-24,nan
AL136221.1,nan
AL592437.2,nan
RPS4XP22,RPS4P22
PHLDB3,FLJ40193
AC135068.11,nan
PTER,nan
AC006064.4,nan
WWC2-AS2,C4orf38|FLJ30277
AMD1P1,nan
RN7SL634P,nan
CCND2-AS1,CCND2-AS2
AC099685.1,nan
ZP3P1,nan
AC010872.2,nan
AC018889.1,nan
OGA,NCOAT|MGEA5|MEA5
SNORD3B-2,U3b2|U3-2B
FAM131A,C3orf40|MGC21688
FUT11,MGC33202
BBS12,FLJ35630|C4orf24|FLJ41559
FAM228B,nan
AC243902.2,nan
AL137779.3,nan
TNFRSF6B,M68|TR6|DcR3
AC026433.1,nan
IGLVVI-22-1,IGLV(VI)-22-1
SLC2A4,GLUT4
AC104451.1,nan
AP001331.1,nan
AC103808.4,nan
AL353807.5,nan
MIR6778,hsa-mir-6778
OR1B1,OR9-B
KF456110.1,nan
TARDBP,TDP-43|ALS10
ZPR1,ZNF259
AC011773.2,nan
HOXC6,HOX3C|HOX3
AL096861.1,nan
HSP90AB6P,nan
AC093583.1,nan
AC023271.1,nan
BRAT1,BAAT1|MGC22916|C7orf27
AC093909.4,nan
HINFP,HiNF-P|MIZF|ZNF743|DKFZP434F162
AC019068.1,nan
SLC2A13,HMIT
AC004233.2,nan
ALG1L3P,nan
NRP1,VEGF165R|CD304|NRP
LINC01259,TCONS_00007515
CFL1P1,CFLP1|MGC35136
USB1,FLJ13154|HVSL1|Mpn1|C16orf57
RN7SL223P,nan
AL109936.1,nan
RP1L1,DCDC4B
RBM47,FLJ20273|NET18
AC096725.1,nan
AP001619.2,nan
AC027779.1,nan
IGSF11,Igsf13|MGC35227|VSIG3|CT119|BT-IgSF
AC079779.4,nan
APOBEC3B,PHRBNL|FLJ21201
LINC02430,nan
AC096734.1,nan
AP000820.2,nan
AL034351.6,nan
CTXN2,nan
ASAP2,CENTB3|KIAA0400|SHAG1|DDEF2|PAP
AP002414.1,nan
PARD3-AS1,nan
ADH5P2,nan
HTT,HD|IT15
TRIML1,RNF209|FLJ36180
FO393419.2,nan
AC021231.1,nan
URB2,KIAA0133|NET10|NPA2
SSB,La/SSB|LARP3|La
AL135844.1,nan
CR388205.2,nan
TSPAN16,TM-8|TM4-B|TM4SF16
PTPN3,PTPH1
AC021660.4,nan
MTHFD2P7,nan
POTEJ,POTE2beta
RANBP9,RanBPM
TP53INP1,DKFZp434M1317|FLJ22139|SIP|TP53INP1A|Teap|P53DINP1|TP53INP1B
TRAJ52,nan
AC027682.5,nan
NUAK1,ARK5|NuaK1|KIAA0537
AL589740.1,nan
AC079804.3,nan
AL161636.2,nan
AL928768.1,nan
VWC2L-IT1,nan
AC006463.1,nan
NEIL1,FLJ22402|NEI1|FPG1|hFPG1
KCTD9P6,nan
AC004386.6,nan
DNAJC25-GNG10,nan
IDNK,bA522I20.2|hGntK|C9orf103
RNU2-50P,nan
AC002059.3,nan
MG910337.3,nan
AC073657.1,nan
FP475955.2,nan
GSG1,MGC3146
AC068473.7,nan
PCDHA3,PCDH-ALPHA3
AC104024.3,nan
RPS4XP4,RPS4P4
AC016821.1,nan
LINC02571,nan
MIR6823,hsa-mir-6823
RNU6-1087P,nan
SLC50A1,slv|SWEET1|HsSWEET1|RZPDo834D038D|RP11-540D14.5|RAG1AP1|SCP
AC002542.5,nan
AC113423.2,nan
PYDC1,ASC2|POP1
RNU4-13P,nan
PPP1R14A,CPI-17|PPP1INL
SHISA5,hShisa5|SCOTIN
ATP6V1F,ATP6S14|Vma7|VATF
AL157832.2,nan
CYP2B6,CYP2B|CYPIIB6|CPB6
ABR,MDB
CREB3L1,OASIS
RN7SL549P,nan
AC004830.1,nan
HM13,H13|PSENL3|SPPL1|SPP|IMPAS|dJ324O17.1|IMP1|PSL3
BX571807.1,nan
AC127024.5,nan
SAMM50P1,nan
MKLN1-AS,MKLN1-AS2
AC092110.1,nan
HMGA1,HMGIY
SYNGR3,nan
AC107031.1,nan
KPNA2P2,nan
RNA5SP229,RN5S229
CDY9P,nan
GK3P,GKTB|GKP3
AL391834.3,nan
IGHV1OR16-2,IGHV1/OR16-2
AC275284.3,nan
BCDIN3D-AS1,nan
AC068137.3,nan
LINC01767,nan
AL356131.2,nan
SPCS2P1,SPCS2P
AL022098.1,nan
KRT8P47,nan
MRPS18C,MRPS18-1|FLJ22967|CGI-134|FLJ11146
RNU6-781P,nan
MDM2,HDM2|MGC5370
AC092958.1,nan
TXNP7,nan
AC068228.1,nan
SNX18P25,nan
AC127071.2,nan
AC093627.24,nan
AL021407.1,nan
RNU6-910P,nan
TAC4,Pptc|PPT-C|HK-1
AC009967.1,nan
RNU6ATAC8P,nan
BLMH,BH
MCPH1,BRIT1|FLJ12847
AC009093.6,nan
KCNN3,hSK3|SKCA3|KCa2.3
ZNF573,FLJ30921
AL133410.2,nan
FP325311.1,nan
AC138089.2,nan
ECEL1,DINE|XCE
AKAP9,PPP1R45|MU-RMS-40.16A|AKAP450|PRKA9|LQT11|KIAA0803|AKAP350|CG-NAP|HYPERION|YOTIAO
FBXO44,Fbx44|FBG3|Fbxo6a|MGC14140|FBX30
LRRC20,FLJ10751|FLJ10844
AC005183.1,nan
RANP9,nan
AC011447.5,nan
AC009275.1,nan
EFCAB7,KIAA1799|RP4-534K7.1
AP005205.3,nan
HSPD1P5,HSPDP5|HSPD1-8P
SPATA31A7,FAM75A7|FAM75A4|SPATA31A4
PITPNA-AS1,nan
PNMA1,MA1
RN7SL164P,nan
PPP2R5D,B56D|B56delta
MIR8065,hsa-mir-8065
SINHCAFP2,FAM60CP
WIZ,ZNF803
AC100863.1,nan
PPIAP64,nan
REST,NRSF|DFNA27|XBR
CHEK2P3,nan
RHOXF1P3,nan
MS4A4A,CD20L1|MS4A4|MS4A7
PRPF39,FLJ20666|FLJ11128
RPS29P2,HsT23291
ESRP1,FLJ20171|RBM35A
MIR4682,hsa-mir-4682
TRIML2,FLJ25801|SPRYD6
AC096659.1,nan
AL021308.1,nan
LYPD9P,nan
GRK5-IT1,nan
MAPK6P6,MAPK6PS6
CBX2,MGC10561|CDCA6
AP005210.1,nan
RNU4-8P,U4/14|RNU4P2|U4
NPPB,nan
S100A11,S100C
RBM25,fSAP94|RNPC7|S164|NET52|Snu71
GOLGA8A,GOLGIN-67|GM88
PSAPL1,nan
SYT12,SRG1
AC022616.1,nan
NLN,KIAA1226|AGTBP
TBC1D30,KIAA0984
RN7SKP284,nan
C22orf23,FLJ32787|EVG1|LOC84645
LINC02379,nan
AL591043.2,nan
KCNIP3,KCHIP3|CSEN|DREAM
CNKSR1,CNK1|KSR|CNK
RNA5SP132,RN5S132
AC007344.1,nan
SNORD89,HBII-289
AC092723.3,nan
IGKV1-39,nan
ABBA01000935.2,nan
AC105148.1,nan
SNAI3,SMUC|ZNF293|Zfp293
RN7SL282P,nan
RPP38-DT,MGC35468|C10orf111|bA455B2.4
SMARCE1P1,nan
AC092053.7,nan
TIMP3,SFD
NOP56P1,NOP56-L|dJ207F6.1|NOL5B|NOL5BP
LONRF2P5,nan
NUDT1,MTH1
OASL2P,nan
AC104051.2,nan
H2AB3,H2AFB|H2AFB3
KP420444.1,nan
AL050335.1,nan
AL035587.1,nan
AL390334.1,nan
PPIAP5,nan
MIR5701-2,hsa-mir-5701-2
AL161663.2,nan
AL137802.2,nan
AC023043.1,nan
C1QTNF2,CTRP2
AC083837.1,nan
RPSAP3,LAMR1P3
TLN2,ILWEQ|KIAA0320
ZACN,LGICZ|LGICZ1|ZAC|ZAC1|L2
TMIGD2,CD28H|IGPR-1|MGC23244
AC060814.5,nan
RNU6-873P,nan
AC016245.2,nan
AL160281.1,nan
RNA5SP282,RN5S282
RHOT1P2,nan
AC136285.2,nan
INTS6L-AS1,DDX26B-AS1
ARL6IP6,MGC33864
AC069421.3,nan
LINC02517,nan
AC007256.1,nan
NLRP4,FLJ32126|CT58|CLR19.5|PAN2|PYPAF4|RNH2|NALP4
SCD,FADS5|SCDOS
AL139156.2,nan
AC007718.1,nan
AL139125.1,nan
B3GLCT,B3Glc-T|B3GTL|B3GALTL
SEPHS1P1,nan
AC120498.3,nan
AL161613.1,nan
CHST2,C6ST
LINC02457,nan
AC106886.1,nan
CFAP53,FLJ32743|CCDC11
SLC13A1,NaSi-1|NAS1
DMRT1,CT154|DMT1
GGT2,GGT
HPCAL1,BDR1|HLP2|VILIP-3
KRTAP5-5,KRTAP5-11|KRTAP5.5
AC116359.1,nan
AC008670.1,nan
AC007349.3,nan
BX072579.1,nan
KIAA1671-AS1,nan
AC244517.4,nan
RNU6-854P,nan
AC183088.3,nan
BTF3P13,HUMBTFD|BTF3L3
MRPS27,KIAA0264
AC008026.3,nan
AC025278.4,nan
AC026725.1,nan
FAM149B1,KIAA0974
AC246817.2,nan
CYP2A7,CYP2A
AL353769.1,nan
MIR6124,hsa-mir-6124
ARMC3,CT81|FLJ32827
AC138932.3,nan
AL136317.2,nan
APLN,XNPEP2|apelin
LINC02757,nan
SLC35E2B,nan
AC011155.1,nan
AC003984.1,nan
TTTY21,NCRNA00146
LINC02666,nan
FRG2MP,nan
PABPC1P5,nan
ITGAM,CR3A|MAC-1|CD11B
CR759834.1,nan
AC113191.1,nan
RNU6-245P,nan
AC012572.6,nan
TRDC,nan
ZNF402P,nan
OR4A45P,nan
NKX2-4,NKX2.4|NKX2D
LINC00427,nan
NCOA1,bHLHe74|KAT13A|F-SRC-1|NCoA-1|RIP160|SRC1
PSMG4,C6orf86|PAC4
AC007637.1,nan
AF064860.2,nan
SDHCP3,nan
AL512603.2,nan
MTRR,cblE
LINC02356,nan
TGFBR3L,nan
OR2G1P,hs6M1-25|OST619
VGLL3,VGL-3
AC008749.1,nan
LINC00411,nan
PRR12,KIAA1205
AC009656.1,nan
AC005730.2,nan
RN7SL344P,nan
AC002981.1,nan
SLC38A11,AVT2|FLJ39822
AC099494.1,nan
CNPPD1,CGI-57|C2orf24
IRS2,nan
AC073869.3,nan
RPUSD4,FLJ14494
WDR63,DIC3|NYD-SP29|FLJ30067
ATP6V0CP4,nan
HNRNPA1P8,nan
RPS26P31,nan
CYP4F44P,CYP4F-se12[6:8]
NF1P4,NF1L4
EIF4A2P5,nan
GLIDR,TCONS_00015562|LINC01172|MGC21881
AC108667.3,nan
GAS1,nan
MIR613,hsa-mir-613|MIRN613
SLC22A4,OCTN1|DFNB60|MGC34546
TRAV32,nan
AC097636.1,nan
RN7SKP78,nan
AC113208.4,nan
LCOR,FLJ13022|DKFZP564P1916|KIAA1795|MLR2|FLJ38026|C10orf12
TEN1-CDK3,nan
ITGA6,CD49f
SEC61G,SSS1
DNM1P35,DNM1DN8@|DNM1DN8-2
IL6-AS1,nan
AC034244.2,nan
AL139232.1,nan
AC240565.2,nan
AL353765.1,nan
SPDYE18,nan
RPS26P52,nan
AC097468.4,nan
AC243651.1,nan
SATB2,KIAA1034|FLJ21474
AC097522.1,nan
TPRKBP2,nan
RN7SKP211,nan
AC270107.1,nan
HAUS2,CEP27|FLJ10460|C15orf25|HsT17025
FKBP5,Ptg-10|PPIase|P54|FKBP51|FKBP54
TGFBR3,BGCAN|betaglycan
TMC8,EVER2|EVIN2
AC120057.4,nan
AP001437.2,nan
RNU6-596P,nan
AC062015.1,nan
MED28,EG1|magicin|DKFZP434N185
AC008250.1,nan
ZNF391,dJ153G14.3
TBC1D8,VRP|HBLP1|AD3|GRAMD8
AC020978.8,nan
NPIPB4,nan
MIA-RAB4B,nan
AL049861.1,nan
AC107990.1,nan
AC104662.2,nan
NR0B1,AHC|DSS|AHCH|DAX1
CITED4,nan
AC010745.5,nan
AC104066.3,nan
MIR3681,hsa-mir-3681
MRPL34,MGC24974|MGC2633|L34mt
LARP1,LARP|KIAA0731|MGC19556
BTN3A3,BTF3|BTN3.3
LINC02121,nan
RNU6-497P,nan
TIMM9,TIM9A
AC100803.4,nan
IGKV1D-17,nan
CYCSP1,HC5|HCP36
AC007967.2,nan
KLHL33,nan
AC114786.1,nan
AC270272.2,nan
AC012409.1,nan
AC007406.1,nan
AIMP2,JTV-1|PRO0992|p38|JTV1
AC027373.1,nan
AL049870.1,nan
AC021146.8,nan
RNA5SP143,RN5S143
AP000356.1,nan
AC093777.1,nan
MIR3675,hsa-mir-3675
AC092794.1,nan
AC012676.8,nan
AC083805.1,nan
AC106874.1,nan
AC004879.1,nan
SNORA72,RNU72|U72
TIAF1,nan
FAM157C,nan
AC007540.2,nan
AL121772.1,nan
AL139099.3,nan
UBE2V1P12,nan
RNU6-287P,nan
AP002383.5,nan
TXNL1P1,nan
AC003688.4,nan
AC006518.5,nan
CLPX,nan
CBWD6,CBWD7|OTTHUMG00000066820|OTTHUMG00000067194
LINC00449,nan
RGS4,SCZD9
SLC22A14,OCTL2|ORCTL4
ACTG2,ACTA3|ACTSG|ACTL3
PCDHAC2,PCDH-ALPHA-C2
AC097512.1,nan
AC106795.9,nan
AC145207.7,nan
MIR3180-4,hsa-mir-3180-4
RPSAP18,nan
ABCB4,MDR2|MDR3|PFIC-3|PGY3|GBD1
MTHFD2P6,nan
MIR1234,MIRN1234|hsa-mir-1234
AC093520.2,nan
WARS2-IT1,nan
AC135178.6,nan
AC092803.2,nan
LINC00886,nan
NAGS,NAT7|AGAS|ARGA
FRG1BP,FRG1B|bA348I14.2|C20orf80
CCNQP3,FAM58DP
PCDHA9,KIAA0345|PCDH-ALPHA9
AC025822.2,nan
AC022081.1,nan
AL136146.2,nan
AC010323.2,nan
ZNF674,ZNF673B|MRX92
AC002558.2,nan
AC104073.2,nan
MIR377,hsa-mir-377|MIRN377
AL162231.2,nan
LINC02454,nan
RNA5SP450,RN5S450
SEPTIN14P24,SEPT14P24
AC009236.1,nan
AC007923.3,nan
LINC00640,nan
RPL7P3,dJ353C17.2
AC011008.1,nan
XKRYP2,nan
AL078595.3,nan
AC022784.5,nan
OR1J1,hg32
SSPO,FLJ36112|KIAA0543|SCO-spondin
LINC02212,nan
ADGRD1,PGR25|DKFZp434B1272|GPR133
LINC01746,nan
RNASE2,RNS2|EDN|RAF3
AC027644.3,nan
AC126121.1,nan
RN7SL3,RN7SL631P|RNSRP3|7L30.2
AC093433.1,nan
CD7,TP41|LEU-9|GP40|Tp40
RN7SL270P,nan
TRAF4,MLN62|CART1|RNF83
UQCRC2P1,nan
MIR3150BHG,nan
DZANK1,FLJ30892|bA189K21.8|C20orf12|ANKRD64|FLJ10600|dJ568F9.2|C20orf84
RPL21P127,nan
MRNIP,MGC78537|DKFZp686L2452|LOC51149|C5orf45|MGC65027
AL031577.2,nan
AC019294.3,nan
AC012501.1,nan
BAIAP2L1,IRTKS
DNAJC19P9,nan
MPP6,PALS2|VAM-1|p55T
AL512343.2,nan
HDHD3,C9orf158|MGC12904
CATSPER3,CACRC
OR2W2P,hs6M1-30P
UMAD1,RPA3-AS1|RPA3OS
FAIM,FAIM1|FLJ10582
AL512328.1,nan
AC087392.4,nan
FBXL18,FLJ11467|Fbl18
LINC02665,nan
ADGRF3,hGPCR37|PGR23|GPR113
AP000894.2,nan
CREG2,nan
LINC02349,nan
BTN2A1,BTF1|BT2.1|BTN2.1
AC118282.4,nan
LINC02549,nan
NMU,nan
ADGRF5P2,GPR116P2
AC004852.2,nan
RNY1P13,nan
RN7SL203P,nan
STARD7,GTT1
NAA38,PFAAP2|LSMD1|MGC14151
AL138691.1,nan
SLC39A4,AWMS2|AEZ|ZIP4
AL031430.1,nan
AF117829.1,nan
AL359198.2,nan
MIR4255,hsa-mir-4255
ATP5F1C,ATP5CL1|ATP5C1|ATP5C
NAPGP1,nan
AP005436.1,nan
AC025580.3,nan
AC021066.3,nan
AL357568.2,nan
RNA5SP444,RN5S444
SPDYE6,nan
AL513348.1,nan
RNU6-475P,nan
ATG14,KIAA0831|ATG14L
NBPF15,NBPF16|MGC8902
SF3A3P2,nan
CTNNA3,VR22|MGC26194
MSLNL,MPFL|C16orf37
