CD,AlternativeName,gene_name,gene_synonym
CD206,MannosereceptorCtype-1(MRC1)|Macro-phagemannosereceptor(MMR)|C-typeLectindomainfamily13memberD(CLEC13D),MRC1,CD206|CLEC13DL|CLEC13D|bA541I19.1|MRC1L1
CD207,Langerin|C-typeLectindomainfamily4memberK(CLEC4K),CD207,Langerin|CLEC4K
CD208,Lysosomal-associatedmembraneprotein3(LAMP3)|DC-LAMP|DCLAMP|LAMP|TSC403,LAMP3,CD208|DCLAMP|DC-LAMP|LAMP|TSC403
CD209,Dendriticcell-specificICAM-3-grabbingnon-integrin(DC-SIGN)|DC-SIGN1|CDSIGN|C-typelectindomainfamily4memberL(CLEC4L)|HIVgp120-bindingprotein,CD209,CDSIGN|DC-SIGN1|CLEC4L|DC-SIGN
CD210a,Interleukin10ReceptorA(IL-10RA|IL-10R1),IL10RA,HIL-10R|IL10R|CD210|CDW210A|CD210a
CDw210b,Interleukin10ReceptorB(IL-10RB|IL-10R2),IL10RB,D21S66|CDW210B|CRF2-4|D21S58|CRFB4|IL-10R2
CD212,Interleukin12receptorb1chain(IL-12b1)|IL-12b|CD212b1,IL12RB1,CD212|IL12RB
CD213a1,Interleukin13receptora1chain(IL-13Ra1)|NR4,IL13RA1,CD213a1|IL-13Ra|NR4
CD213a2,Interleukin13receptora2chain(IL-13Ra2)|interleukin-13-bindingprotein(IL13BP),IL13RA2,IL-13R|CD213a2|IL13BP|CT19
CD215,Interleukin15receptoralphachain(IL-15RA),IL15RA,CD215|IL-15RA
CD217,Interleukin17receptorA(IL-17RA)|IL-17R|CDw217,IL17RA,IL17R|hIL-17R|CD217|IL-17RA|CDw217
CD218a,Interleukin18receptor1(IL-18R1)|IL-18RA|IL-18Ra|IL1receptor-relatedprotein(IL-1Rrp)|IL-R5|CDw218a,IL18R1,IL-1Rrp|CD218a|IL1RRP
CD218b,Interleukin18receptorb(IL-18Rb)|IL-18receptoraccessoryprotein(IL-18RAP|IL-18RAcP)|IL-1Raccessoryprotein-like(IL-1RAcPL)|IL-1R7|CDw218b,IL18RAP,AcPL|CD218b
CD220,Insulinreceptor(INSR)|IR,INSR,CD220
CD221,Insulin-likegrowthfactor1receptor(IGF1R)|IGF-1R|typeIIGFreceptor(IGF-IR)|JTK13,IGF1R,IGFIR|IGFR|MGC18216|JTK13|CD221
CD222,Cation-independentmannose-6-phosphatereceptor(M6P-R|CIM6PR|CIMPR|CI-MPR)|Insulin-likegrowthfactor2receptor(IGF2R|IGFIIR|IGF-IIR)|MPR1|MPRI,IGF2R,CI-M6PR|M6P-R|MPR1|MPRI|CD222|CI-MPR|MPR300|CIMPR
CD223,Lymphocyteactivationgene3(LAG3|LAG-3)|FDCprotein,LAG3,CD223
CD224,g-Glutamyltransferase1(GGT1)|g-Glutamyltranspeptidase1(GGTP)|GGT|GTG|EC2.3.2.2,GGT1,D22S732|GGT|CD224|D22S672
CD225,Interferon-inducedtransmembraneprotein1(IFITM1)|Interferon-inducedprotein17(IFI17)|Interferon-inducibleprotein9-27(9-27)|Leu13|fragilis2,IFITM1,DSPA2a|IFI17|CD225|9-27
CD226,DNAXaccessorymolecule1(DNAM-1)|PlateletandT-cellactivationantigen1(PTA-1)|Tlineage-specificactivationantigen1antigen(TLiSA1),CD226,DNAM-1|TLiSA1|PTA1|DNAM1
CD227,Mucin1(MUC1|MUC-1)|DF3antigen|H23antigen|Peanut-reactiveurinarymucin(PUM)|Polymorphicepithelialmucin(PEM)|Epithelialmembraneantigen(EMA)|Tumor-associatedmucin|Episialin,MUC1,MCKD|ADMCKD|PUM|MCKD1|MCD|CD227|ADMCKD1|PEM
CD228,Melanotransferrin(MT|MTF1)|p97Melanomaantigen(p97|MAP97)|Mfi2|gp95,MELTF,FLJ38863|MGC4856|MAP97|MTf|MFI2|MTF1|CD228
CD229,Lymphocyteantigen9(Ly9)|T-lymphocytesurfaceantigenLy-9|Signalinglymphocyteac-tivationmoleculefamilymember3(SLAMF3)|Lgp100|T100,LY9,hly9|mLY9|SLAMF3|CD229
CD230,Prionprotein(PrP|PRNP)|Majorprionprotein|prP27-30|prP33-35C|PrPc,PRNP,CJD|PRIP|AltPrP|GSS|CD230|PRP
CD231,Tetraspanin7(TSPAN7)|T-cellacutelymphoblasticleukemia-associatedantigen1(TALLA-1)|Transmembrane4superfamilymember2(TM4SF2)|MembranecomponentXchromosomesurfacemarker-1(MXS1)|A15,TSPAN7,MRX58|MXS1|A15|TM4SF2|TALLA-1|CD231|DXS1692E
CD232,PlexinC1(PLXNC1)|Virus-encodedsemapho-rinproteinreceptor(VESPR|VESP-R),PLXNC1,CD232|VESPR
CD233,Solutecarrierfamily4anionexchangermember1(SLC4A1)|Band3|Anionexchanger1(AE1)|Diegobloodgroup|Erythroidproteinband3(EPB3),SLC4A1,FR|RTA1A|EPB3|DI|AE1|WR|WD|CD233|SW
CD234,Duffyantigen/chemokinereceptor(DARC)|Duffybloodgroupantigen(Dfy|FY)|Fy-Glycoprotein|GlycoproteinD,ACKR1,GPD|CCBP1|Dfy|DARC|CD234|FY
CD235a,GlycophorinA(GYPA)|Sialoglycoproteina|SialoglycoproteinA|MNbloodgroupantigen|PAS-2,GYPA,MN|CD235a|GPA|MNS
CD235b,GlycophorinB(GYPB)|Sialoglycoproteind|ss-Activesialoglycoprotein|SSbloodgroupantigen|PAS-3,GYPB,GPB|MNS|SS|CD235b
CD236,GlycophorinC&D(GYPC&GYPD)|Glycopho-rinC/D|Gerbichbloodgroupantigen|CD236R(glycophorinConly),GYPC,Ge|CD236R|CD236|GPC|GYPD
CD236R,GlycophorinC|GYPC,GYPC,Ge|CD236R|CD236|GPC|GYPD
CD238,Kellbloodgroupglycoprotein(Kel)|Kellbloodgroupantigen|Endothelin-3-convertingenzyme(ECE3),KEL,ECE3|CD238
CD239,Basalcelladhesionmolecule(BCAM|B-CAM)|Lutheranbloodgroupglycoprotein|Lutheranbloodgroupantigen(Lu),BCAM,CD239|LU
CD240,Rhbloodgroupsystem|CD240CE(Rh30CE|Cc&Eebloodantigens)|CD240D(Rh30D|Dbloodantigen)|CD240DCE(Rh30D/CE),,
CD241,RhAG|Rh50A|RH2,RHAG,RH50A|SLC42A1|CD241
CD242,ICAM4|LW,ICAM4,CD242|LW
CD243,ABC20|CD243|CLCS|GP170|MDR1|P-gp|PGY1,ABCB1,ABC20|PGY1|MDR1|CD243|P-gp|GP170|CLCS
CD244,2B4|NAIL|NKR2B4|Nmrk|SLAMF4,CD244,NAIL|NKR2B4|2B4|Nmrk|SLAMF4
CD245,p220/240,,
CD246,ALK|TFG/ALK|NBLST3,ALK,CD246
CD247,CD3-z|CD3H|CD3Q|CD3Z|T3Z|TCRZ,CD247,CD3Q|CD3Z|CD3H
CD248,TEM1|Endosialin|CD164L1|MGC119478|MGC119479,CD248,TEM1|CD164L1
CD249,APA|gp160|EAP|ENPEP,ENPEP,gp160|CD249
CD252,TNFSF4|GP34|OX4OL|TXGP1|CD134L|OX-40L|OX40L,TNFSF4,OX-40L|TXGP1|CD252|gp34
CD253,TNFSF10|TL2|APO2L|TRAIL|Apo-2L,TNFSF10,TL2|TRAIL|Apo-2L|CD253
CD254,TRANCE|RANKL|TNFSF11|ODF|OPGL|sOdf|OPTB2|hRANKL2,TNFSF11,RANKL|OPGL|TRANCE|CD254|ODF
CD256,TNFSF13|APRIL|TALL2|TRDL-1|UNQ383/PRO715,TNFSF13,CD256|APRIL
CD257,TNFSF13b|BAFF|BLYS|TALL1|THANK|TNFSF20|ZTNF4,TNFSF13B,TNFSF20|BLYS|BAFF|CD257|THANK|TALL-1|TALL1
CD258,TNFSF14|LTg|TR2|HVEML|LIGHT,TNFSF14,LIGHT|LTg|HVEM-L|CD258
CD261,TNFRSF10a|APO2|DR4|MGC9365|TRAILR1,TNFRSF10A,Apo2|TRAILR-1|CD261|TRAILR1|DR4
CD262,TNFRSF10b|KILLER/DR5|TRAILR2|TRICK2|TRICK2A|TRICK2B|TRICKB|ZTNFR9,TNFRSF10B,CD262|KILLER|TRAIL-R2|TRAILR2|TRICK2A|TRICKB|DR5
CD263,TNFRSF10c|DCR1|LIT|TRAILR3|TRID,TNFRSF10C,DcR1|LIT|TRAILR3|CD263|TRID
CD264,TNFSF10d|DCR2|TRAILR4|TRUNDD,TNFRSF10D,CD264|DcR2|TRAILR4|TRUNDD
CD265,TNFRSF11a|EOF|FEO|ODFR|OFE|PDB2|RANK|TRANCER,TNFRSF11A,LOH18CR1|RANK|CD265|PDB2|FEO
CD266,TNFRSF12A|FN14|TWEAKR,TNFRSF12A,CD266|FN14|TweakR
CD267,TNFRSF13B|CVID|TACI|FLJ39942|MGC39952|MGC133214|TNFRSF14B,TNFRSF13B,CD267|TACI|IGAD2
CD268,TNFRSF13C|BAFFR|CD268|BAFF-R|MGC138235,TNFRSF13C,CD268|BAFFR
CD269,TNFRSF17|BCM|BCMA,TNFRSF17,BCMA|CD269|BCM|TNFRSF13A
CD270,TNFRSF14|HVEM,TNFRSF14,LIGHTR|HVEM|ATAR|CD270|HVEA|TR2
CD271,NGFR|Gp80-LNGFR|TNFRSF16|p75(NTR)|p75NTR,NGFR,p75NTR|CD271|TNFRSF16
CD272,BTLA1|FLJ16065|MGC129743,BTLA,BTLA1|CD272
CD273,B7DC|Btdc|PDL2|CD273|PD-L2|PDCD1L2|MGC142238|MGC142240|bA574F11.2|PDCD1LG2,PDCD1LG2,PD-L2|CD273|bA574F11.2|PDL2|Btdc|B7-DC
CD274,B7-H|B7H1|PDL1|PD-L1|PDCD1L1|PDCD1LG1|MGC142294|MGC142296|CD274,CD274,B7-H1|PDL1|PDCD1LG1|PD-L1|B7H1|B7-H
CD275,B7H2|GL50|B7-H2|B7RP1|CD275|ICOSL|LICOS|B7RP-1|ICOS-L|KIAA0653|ICOSLG,ICOSLG,B7RP-1|ICOS-L|KIAA0653|B7H2|B7RP1|GL50|B7-H2|B7h|ICOSL|CD275
CD276,B7H3|B7-H3|4Ig-B7-H3|CD276,CD276,B7RP-2|B7-H3|B7H3
CD277,BTF5|BT3.1|CD277|MGC141880|BTN3A1,BTN3A1,BTN3.1|BTF5|BT3.1|CD277
CD278,AILIM|CD278|MGC39850|ICOS,ICOS,AILIM|CD278
CD279,PD1|CD279|SLEB2|hPD-1|hPD-l|PDCD1,PDCD1,PD-1|hSLE1|PD1|SLEB2|CD279
CD280,CD280|UPARAP|CLEC13E|ENDO180|FLJ35911|KIAA0709|MRC2|KIAA0709,MRC2,ENDO180|CLEC13E|CD280|KIAA0709
CD281,TIL|CD281|rsc786|KIAA0012|MGC104956|MGC126311|MGC126312|TIL.LPRS5|DKFZp547I0610|DKFZp564I0682|TLR1,TLR1,rsc786|CD281|KIAA0012
CD282,TIL4|CD282|TLR2,TLR2,TIL4|CD282
CD283,TLR3|TOLL-likereceptor3,TLR3,CD283
CD284,TOLL|CD284|hToll|ARMD10|TLR4,TLR4,ARMD10|hToll|TLR-4|CD284
CD286,CD286|TLR6|TOLL-likereceptor6,TLR6,CD286
CD288,CD288|MGC119599|MGC119600|TLR8|TOLL-likereceptor8,TLR8,CD288
CD289,TLR9|TOLL-likereceptor9,TLR9,CD289
CD290,TLR10|TOLL-likereceptor10,TLR10,CD290
CD292,BIMPR1A|10q23del|ACVRLK3|ALK3|SKR5,BMPR1A,ALK3|CD292|ACVRLK3
CDw293,BMPR1B|ALK-6|ALK6|,BMPR1B,CDw293|ALK6
CD294,CRTH2|PGRD2|Gprotein-coupledreceptor44(GPR44)|DL1R|DP2,PTGDR2,DP2|GPR44|CRTH2|CD294
CD295,LEPR|OBR,LEPR,CD295|OBR
CD296,ART1|ADP-ribosyltransferase1|RT6|ART2|MGC133217,ART1,ART2|CD296
CD297,ART4|ADP-ribosyltransferase4|Dombrockbloodgroupglycoprotein|DO|DOK1,ART4,DO|DOK1|CD297
CD298,ATP1B3|NaKATPaseb3subunit|ATPB-3|FLJ29027,ATP1B3,FLJ29027|CD298
CD299,DCSIGN-related|L-SIGN|DCSIGNR|HP10347|DC-SIGN2|DC-SIGNR|MGC47866|MGC12996|CLEC4M,CLEC4M,CD209L|CD299|DC-SIGN2|DCSIGNR|DC-SIGNR|LSIGN|HP10347
CD300a,IRC1|IRC2|CLM-8|IRp60|IGSF12|CMRF35H|CMRF-35H|CMRF35-H|CMRF35H9|CMRF35-H9|IRC1/IRC2|CMRF-35-H9,CD300A,IRC2|CMRF35H|Irp60|IGSF12|CMRF-35-H9|IRC1
CD300c,CMRF-35A|LIR|CLM-6|CMRF35|IGSF16|CMRF-35|CMRF35A|CMRF35A1|CMRF35-A1,CD300C,CMRF35A|LIR|CMRF35|IGSF16|CMRF-35A
CD300e,CMRF-35L1|CLM2|CLM-2|IREM2|PIgR2|IREM-2|PIgR-2|CD300LE|CMRF35-A5,CD300E,IREM2|CD300LE|CLM2
CD301,MGL1|CLEC10A|CLECSF14|HML,CLEC10A,CLECSF14|CD301|HML|HML2|CLECSF13
CD302,DCL1,CD302,CLEC13A|BIMLEC|KIAA0022|DCL-1
CD303,BDCA2|CLEC4C,CLEC4C,BDCA2|CD303|CLECSF7|CLECSF11|HECL|DLEC
CD304,Neuropilin1,NRP1,VEGF165R|CD304|NRP
CD305,LAIR1,LAIR1,CD305
CD306,LAIR2,LAIR2,CD306
CD307a,FCRL1|IRTA5,FCRL1,CD307a|FCRH1|IRTA5|IFGP1
CD307b,FCRL2|IRTA4,FCRL2,SPAP1|CD307b|IRTA4|FCRH2
CD307c,FCRL3|IRTA3,FCRL3,SPAP2b|IRTA3|SPAP2e|CD307c|SPAP2|FCRH3|IFGP3|SPAP2c|SPAP2d|SPAP2a
CD307d,FCRL4|IRTA1,FCRL4,FCRH4|IGFP2|CD307d|IRTA1
CD307e,FCRL5|IRTA2,FCRL5,BXMAS1|CD307e|IRTA2|FCRH5
CD309,VEGFR2|KDR|Flk1,KDR,VEGFR|CD309|FLK1|VEGFR2
CD312,EMR2,ADGRE2,CD312|EMR2
CD314,NKG2D,KLRK1,CD314|NKG2D|NKG2-D|D12S2489E|KLR
CD315,PTGFRN|CD9P1,PTGFRN,CD9P-1|CD315|EWI-F|FPRP|KIAA1436|FLJ11001|SMAP-6
CD316,EWI2|IGSF8,IGSF8,CD316|PGRL|CD81P3|EWI2
CD317,BST2,BST2,tetherin|CD317
CD318,CDCP1,CDCP1,CD318|SIMA135
CD319,CRACC|SLAMF7,SLAMF7,19A|CRACC|CS1|CD319
CD320,8D6,CD320,8D6|8D6A
CD321,JAM1|F11receptor,F11R,JAM-A|JAMA|PAM-1|JCAM|JAM-1|CD321|JAM1
CD322,JAM2,JAM2,JAM-B|CD322|JAMB|VE-JAM|C21orf43
CD324,E-Cadherin,CDH1,UVO|CD324|uvomorulin
CD325,N-Cadherin,CDH2,NCAD|CDHN|CD325
CD326,Ep-CAM,EPCAM,MK-1|CO-17A|M4S1|17-1A|TACST-1|EGP34|EGP40|MH99|TROP1|ESA|HEA125|KSA|EGP-2|CD326|Ly74|TACSTD1|KS1/4|323/A3|Ep-CAM|MIC18|MOC31|GA733-2
CD327,Siglec6|CD33L,SIGLEC6,OB-BP1|SIGLEC-6|CD33L1|CD327|CD33L
CD328,Siglec7,SIGLEC7,p75/AIRM1|SIGLEC19P|CD328|SIGLECP2|SIGLEC-7|QA79
CD329,Siglec9,SIGLEC9,CD329
CD331,FGFR1,FGFR1,N-SAM|KAL2|BFGFR|FLT2|FLG|CEK|H3|CD331|H5|H4|H2
CD332,FGFR2,FGFR2,ECT1|K-SAM|TK25|JWS|BEK|CD332|CEK3|TK14|KGFR|CFD1
CD333,FGFR3,FGFR3,CD333|CEK2|JTK4|ACH
CD334,FGFR4,FGFR4,CD334|JTK2
CD335,NKp46|NCR1|Ly94,NCR1,LY94|NK-p46|CD335|NKP46
CD336,NKp44|NCR2|Ly95,NCR2,LY95|NK-p44|CD336
CD337,NKp30|NCR3,NCR3,NKp30|1C7|LY117|CD337
CD338,ABCG2,ABCG2,MXR|EST157481|ABCP|CD338|BCRP
CD339,Jagged-1|JAG1,JAG1,CD339|HJ1|AGS|JAGL1|AHD|AWS
CD340,ERB-B2|Neu|Her-2,ERBB2,CD340|HER2|NEU|HER-2|NGL
CD344,FZD4|Frizzledhomolog4,FZD4,CD344|EVR1
CD349,FZD9|Frizzledhomolog9,FZD9,FZD3|CD349
CD350,FZD10|Frizzledhomolog10,FZD10,CD350
CD351,FCAMR|Fcreceptor|IgA|IgM|highaffinity,FCAMR,FKSG87|CD351|FCA/MR
CD352,SLAMF6|Ly108|NTB-A,SLAMF6,SF2000|NTB-A|CD352|KALI|KALIb|NTBA|Ly108
CD353,SLAMF8|BLAME,SLAMF8,CD353|BLAME|SBBI42
CD354,TREM1,TREM1,CD354|TREM-1
CD355,CRTAM|CytotoxicandregulatoryT-cellmolecule,CRTAM,CD355
CD357,TNFRSF18|Tumornecrosisfactorreceptorsuperfamily|member18|GITR,TNFRSF18,AITR|CD357|GITR
CD358,TNFRSF21|Tumornecrosisfactorreceptorsuperfamily|member21|DR6,TNFRSF21,CD358|DR6
CD359,PI16,PI16,dJ90K10.5|MGC45378|MSMBBP|CD364
CD360,IL21R,IL21R,CD360
CD361,EVI2B(ectoptocviralintegrationsite2B),EVI2B,D17S376|EVDB|CD361
CD362,Syndecan-2,SDC2,HSPG|CD362|SYND2|fibroglycan|HSPG1
CD363,S1PR1|Sphingosine-1-phosphatereceptor1|EDG-1,S1PR1,CD363|edg-1|D1S3362|EDG1
